,Title,Published_date,Views,Likes,Comments,month
142,Zara Larsson - Love Me Land (Official Music Video),2020-07-10,13443464,224882,11130,Jul
143,Zara Larsson - Love Me Land (Audio),2020-07-10,466562,16333,919,Jul
144,Zara Larsson - Invisible (End Title from Klaus - Audio),2019-11-22,653380,22775,630,Nov
145,Zara Larsson - Invisible (from the Netflix Film Klaus) (Official Music Video),2019-11-15,9074578,202615,4983,Nov
146,Zara Larsson - Invisible (from the Netflix Film Klaus - Official Audio),2019-11-09,826146,17823,579,Nov
147,Zara Larsson takes NYC (Fall 2019),2019-10-21,77259,5293,361,Oct
148,Zara Larsson - All the Time (Live Acoustic Version),2019-09-11,310712,13754,492,Sep
149,"Behind The Scenes of ""All The Time""",2019-09-11,19542,1203,58,Sep
150,Zara Larsson - Live from Hannover!,2019-08-02,85187,5181,329,Aug
151,Zara Larsson - All the Time (Behind the Scenes),2019-07-29,294237,10637,333,Jul
152,Zara Larsson - All the Time (Don Diablo Remix - Official Audio),2019-07-05,696017,14773,364,Jul
153,Zara Larsson - All the Time (Official Music Video),2019-06-21,31983968,380245,10271,Jun
154,Zara Larsson - All the Time (Official Audio),2019-06-21,5379083,43976,1349,Jun
155,Zara Larsson - Don't Worry Bout Me (Behind the Scenes),2019-05-22,279789,8827,355,May
156,Zara Larsson - Don't Worry Bout Me (Diamond Pistols Remix - Official Audio),2019-05-03,110041,2692,112,May
157,Zara Larsson - Don't Worry Bout Me (Futosé Remix (Radio Edit) - Audio),2019-05-03,82128,2133,74,May
158,Zara Larsson - Don't Worry Bout Me (Alle Farben Remix - Official Audio),2019-05-03,170446,5732,166,May
159,Zara Larsson - WOW (Official Audio),2019-04-26,13414083,180135,2949,Apr
160,Zara Larsson - Don't Worry Bout Me (Official Music Video),2019-04-26,30936094,456836,6720,Apr
161,Zara Larsson - Don't Worry Bout Me (Rudimental Remix - Official Audio),2019-04-19,125741,5065,182,Apr
162,Zara Larsson - Don't Worry Bout Me (Rudimental Remix - Visualiser),2019-04-19,2447577,47809,634,Apr
163,My Drag Queen Makeover with Sink The Pink!,2019-04-12,127890,6382,249,Apr
164,Zara Larsson - Don't Worry Bout Me (Official Lyric Video),2019-04-01,1115252,26249,626,Apr
165,Zara Larsson - Don't Worry Bout Me (Official Audio),2019-03-28,4329899,65136,1573,Mar
166,Zara Larsson - Ruin My Life (Sleigh Remix - Official Audio),2018-12-18,219344,6007,340,Dec
167,Zara Larsson - Ruin My Life (Piano Version - Official Audio),2018-11-30,37203,1036,25,Nov
168,"Zara Larsson - ""Ruin My Life"" Live Performance | Vevo",2018-11-30,519344,16119,390,Nov
169,Zara Larsson - Ruin My Life (Ashworth Remix - Official Audio),2018-11-26,10439,311,8,Nov
170,Zara Larsson - Ruin My Life (Futosé Remix - Official Audio),2018-11-26,19813,433,13,Nov
171,Zara Larsson - Ruin My Life (Steve James Remix - Official Audio),2018-11-26,199118,5539,336,Nov
172,Zara Larsson - Ruin My Life (Vertical Video),2018-11-16,500211,18982,645,Nov
