,Title,Published_date,Views,Likes,Comments,month
37,Dua Lipa - Love Again (Official Music Video),2021-06-04,297386628,2468499,73780,Jun
38,Dua Lipa - Future Nostalgia Medley (Live at the BRIT Awards 2021),2021-05-11,28270541,470932,13569,May
39,Dua Lipa - We're Good (Official Behind The Scenes),2021-03-19,1340437,54798,2131,Mar
40,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),2021-03-15,73961580,1678998,45451,Mar
41,Dua Lipa - STUDIO 2054 IS BACK!,2021-03-12,573122,23708,1007,Mar
42,Dua Lipa - We’re Good (Dillon Francis Remix) [Official Audio],2021-03-12,1792759,47807,1688,Mar
43,Dua Lipa - We're Good (Official Music Video),2021-02-12,97625209,1110443,38367,Feb
44,Dua Lipa - We're Good (Official Audio),2021-02-11,10337078,163270,7778,Feb
45,Dua Lipa x Angèle - Fever (Feder Remix) [Official Audio],2021-01-11,1720663,45494,1444,Jan
46,Dua Lipa x Angèle - Fever (Myd Remix) [Official Audio],2021-01-11,368406,12120,468,Jan
47,Dua Lipa x Angèle - Fever (Vantage Remix) [Official Audio],2021-01-11,369382,14565,739,Jan
48,Dua Lipa - ‘Don’t Start Now’ on SNL,2021-01-04,3844496,92611,3147,Jan
49,Dua Lipa - ‘Levitating’ on SNL,2021-01-04,3908170,102272,3302,Jan
50,Dua Lipa performs “Levitating” | Hello 2021: Americas,2021-01-01,8100527,202993,4755,Jan
51,Dua Lipa performs “Don’t Start Now” | Hello 2021: Americas,2021-01-01,1882901,67685,1798,Jan
52,Dua Lipa x Angèle – Fever (Oklou Remix) [Official Audio],2020-12-18,1347633,43439,1696,Dec
53,Dua Lipa - Levitating Featuring DaBaby [TikTok Edition],2020-12-16,4976472,188664,4663,Dec
54,Dua Lipa - Levitating feat. DaBaby (Don Diablo Remix) [Official Audio],2020-12-11,4066027,104061,2795,Dec
55,Dua Lipa - Levitating feat. DaBaby (KUU Remix) [Official Audio],2020-12-03,3452140,107624,3671,Dec
56,Dua Lipa - ‘Levitating’ at the AMAs 2020,2020-11-24,34533695,754315,17957,Nov
57,Dua Lipa and DaBaby take you behind the scenes for Levitating,2020-11-16,2450064,75652,1399,Nov
58,"Dua Lipa, Angèle - Fever (Official Music Video)",2020-11-06,131867294,1456511,33792,Nov
59,Dua Lipa & Angèle – Fever (Official Lyric Video),2020-10-30,33018718,306535,5783,Oct
60,Dua Lipa & Angèle – Fever (Official Audio),2020-10-29,45521915,370923,10721,Oct
61,Dua Lipa - Levitating (feat. Madonna & Missy Elliott) Behind The Scenes #FoundryFest,2020-10-23,2232035,103990,2331,Oct
